layer,sequences,time_us
lm_head,1,283.169
lm_head,2,284.034
lm_head,3,284.278
lm_head,4,284.95
lm_head,5,284.492
lm_head,6,287.062
lm_head,7,285.708
lm_head,8,286.209
lm_head,9,287.948
lm_head,10,287.468
lm_head,11,288.109
lm_head,12,288.247
lm_head,13,288.375
lm_head,14,289.388
lm_head,15,289.612
lm_head,16,289.004
lm_head,20,291.169
lm_head,24,291.02
lm_head,28,292.044
lm_head,32,292.161
lm_head,36,293.271
lm_head,40,293.26
lm_head,44,294.668
lm_head,48,294.252
lm_head,52,294.785
lm_head,56,294.497
lm_head,60,296.439
lm_head,64,297.132
lm_head,80,299.639
lm_head,96,302.38
lm_head,112,303.532
lm_head,128,307.426
lm_head,144,312.567
lm_head,160,315.521
lm_head,176,320.012
lm_head,192,334.647
lm_head,208,333.943
lm_head,224,356.002
lm_head,240,365.741
lm_head,256,375.745
sampler,1,14.1653
sampler,2,14.272
sampler,3,14.304
sampler,4,14.8267
sampler,5,14.731
sampler,6,15.2213
sampler,7,15.1893
sampler,8,17.4393
sampler,9,17.6107
sampler,10,17.7817
sampler,11,18.1123
sampler,12,18.4003
sampler,13,18.741
sampler,14,19.5203
sampler,15,20.9283
sampler,16,21.4293
sampler,20,22.6883
sampler,24,26.2187
sampler,28,28.5973
sampler,32,31.264
sampler,36,33.2587
sampler,40,35.3707
sampler,44,36.5123
sampler,48,38.817
sampler,52,42.7847
sampler,56,45.5687
sampler,60,48.2773
sampler,64,51.541
sampler,80,62.539
sampler,96,72.416
sampler,112,84.7793
sampler,128,99.2323
sampler,144,107.884
sampler,160,119.052
sampler,176,118.859
sampler,192,138.561
sampler,208,151.605
sampler,224,162.006
sampler,240,168.726
sampler,256,179.233
