regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,274.497,284.065,281.187,0.6992
pure,2,1,0.5,4.0,0,0,256,1024,640,287.618,284.258,280.674,
pure,2,1,0.5,4.0,0,0,512,2048,1280,279.015,288.191,283.267,0.4634
pure,2,1,0.5,4.0,0,0,1024,4096,2560,292.449,304.449,300.673,0.6853
pure,2,1,0.5,4.0,0,0,2048,8192,5120,316.258,325.73,320.225,0.4188
pure,2,1,0.5,4.0,0,0,4096,16384,10240,340.259,350.464,348.772,0.8342
pure,2,1,0.5,4.0,0,0,8192,32768,20480,354.081,372.13,360.293,0.3442
mixed,2,1,0.5,4.0,16,0,128,512,320,306.338,311.36,309.279,0.5856
mixed,2,1,0.5,4.0,16,0,256,1024,640,313.09,314.717,314.048,0.5888
mixed,2,1,0.5,4.0,16,0,512,2048,1280,320.194,326.562,329.154,1.407
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,331.296,344.383,346.306,1.1469
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,357.314,383.2,387.392,1.1619
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,401.186,461.379,462.433,1.0175
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,501.281,611.812,613.891,1.0188
mixed,2,1,0.5,4.0,16,512,128,512,320,338.148,334.047,337.024,
mixed,2,1,0.5,4.0,16,512,256,1024,640,335.617,338.303,334.626,-0.369
mixed,2,1,0.5,4.0,16,512,512,2048,1280,337.475,342.051,343.939,1.4126
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,347.969,359.777,361.891,1.179
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,366.627,398.594,395.907,0.9159
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,416.674,469.729,474.052,1.0815
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,509.824,617.345,626.883,1.0887
mixed,2,1,0.5,4.0,16,1024,128,512,320,347.456,349.342,343.135,-2.2911
mixed,2,1,0.5,4.0,16,1024,256,1024,640,347.839,347.582,345.344,
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,348.798,347.393,343.461,
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,350.562,364.992,364.704,0.98
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,373.087,400.003,401.123,1.0416
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,415.233,474.017,473.505,0.9913
mixed,2,1,0.5,4.0,16,1024,8192,32768,20480,507.49,620.291,627.968,1.0681
mixed,2,1,0.5,4.0,16,2048,128,512,320,360.448,360.448,359.422,
mixed,2,1,0.5,4.0,16,2048,256,1024,640,357.985,362.013,360.801,0.6991
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,363.391,364.546,360.098,-2.8511
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,360.416,368.358,360.738,0.0405
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,376.067,399.71,402.21,1.1057
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,420.736,473.602,479.777,1.1168
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,512.132,622.05,626.595,1.0413
mixed,2,1,0.5,4.0,16,4096,128,512,320,380.929,382.082,381.918,0.8578
mixed,2,1,0.5,4.0,16,4096,256,1024,640,380.577,383.298,380.997,0.1544
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,384.993,385.379,383.937,-2.7358
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,386.404,388.065,384.418,-1.1957
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,389.154,402.398,401.989,0.9691
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,426.209,480.706,479.718,0.9819
mixed,2,1,0.5,4.0,16,4096,8192,32768,20480,516.033,624.195,636.293,1.1119
mixed,2,1,0.5,4.0,16,8192,128,512,320,420.069,418.274,419.651,
mixed,2,1,0.5,4.0,16,8192,256,1024,640,419.459,418.786,418.69,
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,421.825,423.14,419.007,-2.143
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,457.475,426.723,460.99,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,426.116,432.544,427.331,0.189
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,425.986,477.918,483.652,1.1104
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,520.194,633.378,631.201,0.9808
mixed,2,1,0.5,4.0,16,16384,128,512,320,493.152,497.346,495.683,0.6035
mixed,2,1,0.5,4.0,16,16384,256,1024,640,493.791,494.69,492.611,-1.3126
mixed,2,1,0.5,4.0,16,16384,512,2048,1280,496.385,492.45,494.402,
mixed,2,1,0.5,4.0,16,16384,1024,4096,2560,498.788,496.255,496.38,
mixed,2,1,0.5,4.0,16,16384,2048,8192,5120,599.17,514.725,617.443,
mixed,2,1,0.5,4.0,16,16384,4096,16384,10240,512.932,515.012,514.145,0.5832
mixed,2,1,0.5,4.0,16,16384,8192,32768,20480,523.745,633.887,634.753,1.0079
mixed,2,1,0.5,4.0,32,0,128,512,320,313.446,318.014,310.942,-0.5482
mixed,2,1,0.5,4.0,32,0,256,1024,640,313.057,325.981,325.214,0.9407
mixed,2,1,0.5,4.0,32,0,512,2048,1280,330.144,342.306,342.629,1.0266
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,352.287,383.427,384.064,1.0205
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,399.714,456.866,457.859,1.0174
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,495.938,609.414,610.016,1.0053
mixed,2,1,0.5,4.0,32,0,8192,32768,20480,683.619,916.705,914.946,0.9925
mixed,2,1,0.5,4.0,32,512,128,512,320,351.613,351.394,351.326,
mixed,2,1,0.5,4.0,32,512,256,1024,640,352.546,346.691,348.964,
mixed,2,1,0.5,4.0,32,512,512,2048,1280,351.744,364.802,364.896,1.0072
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,374.848,404.29,403.265,0.9652
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,425.283,474.339,481.412,1.1442
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,512.736,628.321,626.918,0.9879
mixed,2,1,0.5,4.0,32,512,8192,32768,20480,701.155,913.509,934.662,1.0996
mixed,2,1,0.5,4.0,32,1024,128,512,320,365.409,364.512,363.713,
mixed,2,1,0.5,4.0,32,1024,256,1024,640,377.605,383.169,372.256,-0.9614
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,387.742,367.233,382.883,
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,376.547,402.911,406.18,1.124
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,427.873,477.858,480.997,1.0628
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,516.483,624.452,632.354,1.0732
mixed,2,1,0.5,4.0,32,1024,8192,32768,20480,704.865,931.94,930.977,0.9958
mixed,2,1,0.5,4.0,32,2048,128,512,320,381.793,382.945,380.449,-1.1667
mixed,2,1,0.5,4.0,32,2048,256,1024,640,381.409,387.837,383.425,0.3136
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,412.705,423.009,409.411,-0.3197
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,430.501,460.671,420.543,-0.3301
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,422.4,483.011,481.892,0.9815
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,518.884,630.08,633.026,1.0265
mixed,2,1,0.5,4.0,32,2048,8192,32768,20480,707.397,932.129,940.069,1.0353
mixed,2,1,0.5,4.0,32,4096,128,512,320,419.556,419.326,418.884,
mixed,2,1,0.5,4.0,32,4096,256,1024,640,418.496,418.083,420.738,
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,425.153,421.124,422.081,
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,480.481,497.311,485.698,0.31
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,515.78,577.407,498.502,-0.2804
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,613.122,631.882,636.547,1.2487
mixed,2,1,0.5,4.0,32,4096,8192,32768,20480,706.949,937.797,936.806,0.9957
mixed,2,1,0.5,4.0,32,8192,128,512,320,498.341,498.113,497.187,
mixed,2,1,0.5,4.0,32,8192,256,1024,640,495.818,494.173,496.642,
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,495.074,495.426,497.888,7.9943
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,498.596,496.197,497.285,
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,607.241,650.946,640.804,0.7679
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,692.804,808.897,654.211,-0.3324
mixed,2,1,0.5,4.0,32,8192,8192,32768,20480,882.788,935.013,943.238,1.1575
mixed,2,1,0.5,4.0,32,16384,128,512,320,651.428,648.771,647.968,
mixed,2,1,0.5,4.0,32,16384,256,1024,640,647.333,646.818,647.047,
mixed,2,1,0.5,4.0,32,16384,512,2048,1280,648.933,651.585,648.164,-0.29
mixed,2,1,0.5,4.0,32,16384,1024,4096,2560,646.208,650.596,650.629,1.0075
mixed,2,1,0.5,4.0,32,16384,2048,8192,5120,648.898,650.852,648.643,-0.1305
mixed,2,1,0.5,4.0,32,16384,4096,16384,10240,864.994,963.489,952.39,0.8873
mixed,2,1,0.5,4.0,32,16384,8192,32768,20480,1038.182,1260.961,963.936,-0.3333
mixed,2,1,0.5,4.0,64,0,128,512,320,323.133,330.788,329.856,0.8782
mixed,2,1,0.5,4.0,64,0,256,1024,640,332.483,348.032,347.491,0.9652
mixed,2,1,0.5,4.0,64,0,512,2048,1280,358.18,385.345,386.116,1.0284
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,408.258,463.521,462.912,0.989
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,500.551,614.464,615.521,1.0093
mixed,2,1,0.5,4.0,64,0,4096,16384,10240,690.978,921.254,923.88,1.0114
mixed,2,1,0.5,4.0,64,0,8192,32768,20480,1075.621,1532.549,1535.878,1.0073
mixed,2,1,0.5,4.0,64,512,128,512,320,380.545,378.818,382.972,
mixed,2,1,0.5,4.0,64,512,256,1024,640,379.839,389.701,390.241,1.0548
mixed,2,1,0.5,4.0,64,512,512,2048,1280,400.896,429.858,428.704,0.9602
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,447.137,502.946,505.06,1.0379
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,545.699,657.666,658.181,1.0046
mixed,2,1,0.5,4.0,64,512,4096,16384,10240,731.874,922.051,965.315,1.2275
mixed,2,1,0.5,4.0,64,512,8192,32768,20480,1076.105,1534.241,1534.754,1.0011
mixed,2,1,0.5,4.0,64,1024,128,512,320,401.633,407.01,400.995,-0.1187
mixed,2,1,0.5,4.0,64,1024,256,1024,640,401.735,399.423,402.496,
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,399.938,430.658,428.419,0.9271
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,448.672,506.557,507.943,1.0239
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,547.33,659.553,660.869,1.0117
mixed,2,1,0.5,4.0,64,1024,4096,16384,10240,732.901,956.837,967.654,1.0483
mixed,2,1,0.5,4.0,64,1024,8192,32768,20480,1111.716,1537.386,1571.875,1.081
mixed,2,1,0.5,4.0,64,2048,128,512,320,444.258,439.934,440.511,
mixed,2,1,0.5,4.0,64,2048,256,1024,640,443.457,445.635,442.497,-0.4408
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,441.916,435.104,440.385,
mixed,2,1,0.5,4.0,64,2048,1024,4096,2560,449.889,508.421,509.09,1.0114
