regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,204.099,207.586,206.911,0.8064
pure,2,1,0.5,4.0,0,0,256,1024,640,208.674,212.738,211.395,0.6695
pure,2,1,0.5,4.0,0,0,512,2048,1280,211.423,214.626,218.209,2.1186
pure,2,1,0.5,4.0,0,0,1024,4096,2560,218.496,220.384,219.134,0.3379
pure,2,1,0.5,4.0,0,0,2048,8192,5120,227.683,232.958,228.963,0.2427
pure,2,1,0.5,4.0,0,0,4096,16384,10240,245.986,251.008,245.725,-0.052
mixed,2,1,0.5,4.0,16,0,128,512,320,227.613,230.046,227.648,0.0144
mixed,2,1,0.5,4.0,16,0,256,1024,640,229.311,232.063,230.305,0.3612
mixed,2,1,0.5,4.0,16,0,512,2048,1280,232.741,238.37,237.376,0.8234
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,235.392,250.881,248.387,0.839
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,253.411,267.553,267.138,0.9707
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,275.875,310.144,307.938,0.9356
mixed,2,1,0.5,4.0,16,512,128,512,320,249.471,247.968,249.341,
mixed,2,1,0.5,4.0,16,512,256,1024,640,248.353,247.617,243.778,
mixed,2,1,0.5,4.0,16,512,512,2048,1280,247.01,247.264,249.666,10.4567
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,247.363,255.684,256.127,1.0532
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,259.68,273.855,274.753,1.0634
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,282.336,317.793,316.509,0.9638
mixed,2,1,0.5,4.0,16,1024,128,512,320,253.278,255.265,254.723,0.7272
mixed,2,1,0.5,4.0,16,1024,256,1024,640,255.232,255.296,255.392,2.5
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,258.019,251.394,251.618,
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,249.569,256.035,257.921,1.2917
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,260.511,277.76,273.892,0.7758
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,283.838,317.889,318.049,1.0047
mixed,2,1,0.5,4.0,16,2048,128,512,320,269.251,270.429,268.931,-0.2716
mixed,2,1,0.5,4.0,16,2048,256,1024,640,269.477,268.194,266.88,
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,269.699,270.656,269.407,-0.3051
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,271.806,264.578,262.529,
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,266.208,277.762,277.599,0.9859
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,288.129,318.049,320.32,1.0759
mixed,2,1,0.5,4.0,16,4096,128,512,320,281.953,281.281,282.818,
mixed,2,1,0.5,4.0,16,4096,256,1024,640,281.023,281.444,283.009,4.7173
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,283.841,285.089,284.8,0.7684
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,283.424,282.692,281.856,
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,283.551,279.074,280.832,
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,289.887,323.967,320.798,0.907
mixed,2,1,0.5,4.0,16,8192,128,512,320,306.944,305.567,307.586,
mixed,2,1,0.5,4.0,16,8192,256,1024,640,305.348,306.882,308.064,1.7705
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,306.882,303.906,306.369,
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,305.63,304.736,306.401,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,306.942,309.056,305.983,-0.4536
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,313.857,326.274,325.026,0.8995
mixed,2,1,0.5,4.0,32,0,128,512,320,232.479,234.018,234.305,1.1865
mixed,2,1,0.5,4.0,32,0,256,1024,640,237.537,242.941,237.697,0.0296
mixed,2,1,0.5,4.0,32,0,512,2048,1280,243.327,250.333,249.729,0.9138
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,256.099,268.833,274.814,1.4697
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,278.208,306.69,308.291,1.0562
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,328.261,385.443,386.436,1.0174
mixed,2,1,0.5,4.0,32,512,128,512,320,264.032,265.888,259.973,-2.187
mixed,2,1,0.5,4.0,32,512,256,1024,640,261.633,261.699,259.46,-32.9242
mixed,2,1,0.5,4.0,32,512,512,2048,1280,262.364,260.733,260.093,
