regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,39.488,41.569,41.472,0.9534
pure,2,1,0.5,4.0,0,0,256,1024,640,41.761,45.376,43.36,0.4423
pure,2,1,0.5,4.0,0,0,512,2048,1280,45.15,47.041,45.664,0.2718
pure,2,1,0.5,4.0,0,0,1024,4096,2560,46.528,48.512,47.554,0.5171
pure,2,1,0.5,4.0,0,0,2048,8192,5120,50.656,53.442,53.437,0.9982
pure,2,1,0.5,4.0,0,0,4096,16384,10240,54.946,61.952,60.095,0.7349
mixed,2,1,0.5,4.0,16,0,128,512,320,48.352,49.825,50.463,1.4331
mixed,2,1,0.5,4.0,16,0,256,1024,640,49.696,50.368,50.56,1.2857
mixed,2,1,0.5,4.0,16,0,512,2048,1280,51.103,51.809,51.712,0.8626
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,51.457,54.208,53.406,0.7085
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,56.961,60.575,59.68,0.7524
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,63.776,68.354,66.784,0.6571
mixed,2,1,0.5,4.0,16,512,128,512,320,53.214,55.968,56.032,1.0232
mixed,2,1,0.5,4.0,16,512,256,1024,640,57.279,52.704,52.865,
mixed,2,1,0.5,4.0,16,512,512,2048,1280,52.448,53.76,53.056,0.4634
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,53.791,55.648,54.912,0.6037
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,57.343,62.433,60.769,0.6731
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,65.056,72.128,68.769,0.525
mixed,2,1,0.5,4.0,16,1024,128,512,320,58.016,58.847,58.72,0.8472
mixed,2,1,0.5,4.0,16,1024,256,1024,640,58.08,58.816,58.369,0.3927
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,53.439,52.864,52.865,
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,53.921,56.61,55.84,0.7136
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,57.219,64.128,59.614,0.3466
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,65.185,74.816,72.094,0.7174
mixed,2,1,0.5,4.0,16,2048,128,512,320,60.641,60.512,61.056,
mixed,2,1,0.5,4.0,16,2048,256,1024,640,60.801,60.704,61.537,
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,61.504,61.122,61.183,
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,55.904,56.096,55.552,-1.8333
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,58.21,64.514,61.696,0.553
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,66.016,74.272,73.28,0.8798
mixed,2,1,0.5,4.0,16,4096,128,512,320,63.328,62.688,63.294,
mixed,2,1,0.5,4.0,16,4096,256,1024,640,62.816,61.568,63.937,
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,62.784,65.247,61.408,-0.5587
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,65.184,63.04,64.031,
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,61.312,68.704,61.473,0.0218
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,71.105,76.735,75.936,0.8581
mixed,2,1,0.5,4.0,16,8192,128,512,320,67.52,68.896,69.6,1.5116
mixed,2,1,0.5,4.0,16,8192,256,1024,640,69.087,69.216,68.96,-0.9845
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,68.801,69.312,68.514,-0.5616
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,70.304,69.633,69.95,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,68.928,71.105,69.278,0.1608
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,76.641,79.392,77.441,0.2908
mixed,2,1,0.5,4.0,32,0,128,512,320,47.744,50.623,50.496,0.9559
mixed,2,1,0.5,4.0,32,0,256,1024,640,50.655,51.485,51.585,1.1205
mixed,2,1,0.5,4.0,32,0,512,2048,1280,51.615,53.568,52.768,0.5904
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,52.992,55.647,54.306,0.4949
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,58.207,62.432,61.216,0.7122
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,64.609,68.925,68.608,0.9266
mixed,2,1,0.5,4.0,32,512,128,512,320,56.609,55.329,55.616,
mixed,2,1,0.5,4.0,32,512,256,1024,640,56.035,53.662,53.408,
mixed,2,1,0.5,4.0,32,512,512,2048,1280,53.568,53.44,53.374,
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,54.049,56.735,56.543,0.9285
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,57.984,64.415,62.048,0.6319
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,65.281,72.833,67.615,0.3091
mixed,2,1,0.5,4.0,32,1024,128,512,320,61.378,60.384,59.936,
mixed,2,1,0.5,4.0,32,1024,256,1024,640,58.656,59.581,60.223,1.6941
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,55.521,55.04,55.392,
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,55.135,56.129,55.551,0.4185
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,59.008,63.362,62.687,0.845
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,66.721,74.592,68.638,0.2436
mixed,2,1,0.5,4.0,32,2048,128,512,320,61.473,60.992,61.41,
mixed,2,1,0.5,4.0,32,2048,256,1024,640,59.68,61.409,61.597,1.1087
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,62.209,61.151,60.832,
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,57.12,57.823,57.791,0.9545
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,59.294,65.505,61.599,0.3711
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,71.678,75.424,68.48,-0.8537
