regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,156.991,161.864,163.172,1.2684
pure,2,1,0.5,4.0,0,0,256,1024,640,163.711,164.959,164.478,0.6146
pure,2,1,0.5,4.0,0,0,512,2048,1280,166.653,169.887,166.559,-0.0291
pure,2,1,0.5,4.0,0,0,1024,4096,2560,170.622,174.626,173.217,0.6481
pure,2,1,0.5,4.0,0,0,2048,8192,5120,181.186,186.562,182.243,0.1966
pure,2,1,0.5,4.0,0,0,4096,16384,10240,191.521,201.024,200.032,0.8956
mixed,2,1,0.5,4.0,16,0,128,512,320,191.646,189.668,190.399,
mixed,2,1,0.5,4.0,16,0,256,1024,640,190.654,191.234,191.684,1.7759
mixed,2,1,0.5,4.0,16,0,512,2048,1280,192.925,195.073,194.654,0.8049
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,195.68,203.069,199.999,0.5845
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,209.216,215.677,212.478,0.5049
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,218.686,234.372,231.327,0.8059
mixed,2,1,0.5,4.0,16,512,128,512,320,206.336,205.823,206.945,
mixed,2,1,0.5,4.0,16,512,256,1024,640,198.11,200.287,199.965,0.8521
mixed,2,1,0.5,4.0,16,512,512,2048,1280,199.389,200.897,201.599,1.4655
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,203.999,205.856,205.632,0.8794
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,208.864,214.239,213.856,0.9287
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,222.048,234.911,235.266,1.0276
mixed,2,1,0.5,4.0,16,1024,128,512,320,209.345,209.697,210.499,3.2784
mixed,2,1,0.5,4.0,16,1024,256,1024,640,211.808,210.658,210.717,
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,207.296,212.256,212.258,1.0004
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,214.688,210.657,208.544,
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,215.904,218.144,216.547,0.2871
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,221.825,237.536,234.721,0.8208
mixed,2,1,0.5,4.0,16,2048,128,512,320,216.573,215.872,214.624,
mixed,2,1,0.5,4.0,16,2048,256,1024,640,216.77,217.345,217.054,0.4939
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,219.905,222.112,218.814,-0.4943
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,225.026,222.753,215.201,
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,225.214,219.484,220.415,
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,228.896,238.176,237.6,0.9379
mixed,2,1,0.5,4.0,16,4096,128,512,320,232.128,234.495,232.607,0.2024
mixed,2,1,0.5,4.0,16,4096,256,1024,640,234.91,233.888,235.04,
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,236.576,236.671,238.143,16.4947
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,239.199,231.584,239.874,
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,230.689,236.612,224.639,-1.0214
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,230.43,244.194,238.246,0.5679
mixed,2,1,0.5,4.0,16,8192,128,512,320,252.832,255.168,252.54,-0.125
mixed,2,1,0.5,4.0,16,8192,256,1024,640,251.135,251.2,250.049,-16.7077
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,254.079,252.542,253.632,
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,252.99,251.904,254.879,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,253.054,251.231,253.023,
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,253.601,258.749,243.172,-2.0258
mixed,2,1,0.5,4.0,32,0,128,512,320,196.034,193.73,190.975,
mixed,2,1,0.5,4.0,32,0,256,1024,640,197.728,196.578,193.537,
mixed,2,1,0.5,4.0,32,0,512,2048,1280,196.671,205.569,201.153,0.5037
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,200.224,218.687,211.424,0.6066
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,220.418,232.512,232.351,0.9867
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,242.08,276.994,275.679,0.9623
mixed,2,1,0.5,4.0,32,512,128,512,320,218.302,216.769,216.96,
mixed,2,1,0.5,4.0,32,512,256,1024,640,215.457,215.774,214.495,-3.0347
mixed,2,1,0.5,4.0,32,512,512,2048,1280,218.05,214.14,213.408,
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,213.791,214.687,213.636,-0.173
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,219.137,233.822,233.663,0.9892
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,242.688,274.466,276.161,1.0533
mixed,2,1,0.5,4.0,32,1024,128,512,320,225.985,228.453,223.964,-0.8189
mixed,2,1,0.5,4.0,32,1024,256,1024,640,226.718,227.268,224.672,-3.72
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,226.754,225.762,226.075,
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,225.247,219.805,215.456,
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,220.318,234.845,232.99,0.8723
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,245.439,275.708,275.999,1.0096
mixed,2,1,0.5,4.0,32,2048,128,512,320,237.791,236.479,237.856,
mixed,2,1,0.5,4.0,32,2048,256,1024,640,236.262,235.552,237.281,
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,239.006,234.497,237.343,
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,236.61,231.202,227.43,
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,228.705,236.388,237.982,1.2075
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,245.633,277.281,279.841,1.0809
mixed,2,1,0.5,4.0,32,4096,128,512,320,250.208,250.401,251.97,9.1295
mixed,2,1,0.5,4.0,32,4096,256,1024,640,250.336,251.775,252.383,1.4225
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,251.997,248.19,249.955,
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,249.341,249.761,251.265,4.581
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,251.328,240.253,236.706,
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,244.896,283.677,280.608,0.9209
mixed,2,1,0.5,4.0,32,8192,128,512,320,270.658,270.879,274.021,15.2172
mixed,2,1,0.5,4.0,32,8192,256,1024,640,272.959,273.6,273.632,1.0499
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,272.607,276.481,271.711,-0.2313
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,272.798,273.312,270.784,-3.9183
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,274.557,273.113,268.992,
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,276.735,283.619,280.419,0.5352
mixed,2,1,0.5,4.0,64,0,128,512,320,195.998,194.691,194.114,
mixed,2,1,0.5,4.0,64,0,256,1024,640,198.588,201.919,201.536,0.885
mixed,2,1,0.5,4.0,64,0,512,2048,1280,207.808,210.208,212.282,1.8642
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,215.905,230.336,230.559,1.0155
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,240.866,268.897,268.545,0.9874
mixed,2,1,0.5,4.0,64,0,4096,16384,10240,287.553,346.176,346.748,1.0098
mixed,2,1,0.5,4.0,64,512,128,512,320,227.039,226.401,228.606,
mixed,2,1,0.5,4.0,64,512,256,1024,640,227.808,224.8,222.721,
mixed,2,1,0.5,4.0,64,512,512,2048,1280,222.721,221.791,221.952,
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,227.326,236.576,241.567,1.5396
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,248.607,276.32,278.943,1.0946
mixed,2,1,0.5,4.0,64,512,4096,16384,10240,296.478,353.119,354.849,1.0305
mixed,2,1,0.5,4.0,64,1024,128,512,320,237.854,238.271,235.872,-4.753
mixed,2,1,0.5,4.0,64,1024,256,1024,640,237.568,236.706,236.704,
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,237.313,228.094,227.714,
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,229.184,240.064,242.079,1.1852
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,251.839,278.271,279.393,1.0424
mixed,2,1,0.5,4.0,64,1024,4096,16384,10240,297.155,353.57,355.873,1.0408
mixed,2,1,0.5,4.0,64,2048,128,512,320,250.205,250.976,250.878,0.8729
mixed,2,1,0.5,4.0,64,2048,256,1024,640,249.151,249.087,249.791,
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,248.356,249.57,249.149,0.6532
mixed,2,1,0.5,4.0,64,2048,1024,4096,2560,248.643,242.112,242.593,
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,252.477,280.095,281.538,1.0522
mixed,2,1,0.5,4.0,64,2048,4096,16384,10240,299.037,355.454,356.255,1.0142
mixed,2,1,0.5,4.0,64,4096,128,512,320,273.566,271.549,272.703,
mixed,2,1,0.5,4.0,64,4096,256,1024,640,273.505,272.289,271.454,
mixed,2,1,0.5,4.0,64,4096,512,2048,1280,274.464,274.884,273.986,-1.1381
mixed,2,1,0.5,4.0,64,4096,1024,4096,2560,272.189,273.76,272.32,0.0834
mixed,2,1,0.5,4.0,64,4096,2048,8192,5120,275.682,279.809,281.054,1.3017
mixed,2,1,0.5,4.0,64,4096,4096,16384,10240,299.134,357.889,358.08,1.0033
mixed,2,1,0.5,4.0,64,8192,128,512,320,310.078,310.691,309.6,-0.7798
