pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0248,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.3274,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0544,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0332,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.3211,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0398,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0635,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.1915,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0679,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0163,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.2576,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0221,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.2061,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.5729,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.2566,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0213,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.5417,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0225,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.269,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.5949,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.1684,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.094,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.3809,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0839,2
0,n<=16,sr>70%,kvB<=16k,kp=0,1.1684,4
0,n<=16,sr>70%,kvB<=1k,kp=0,1.5761,4
0,n<=16,sr>70%,kvB<=4k,kp=0,1.7349,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.3985,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,1.005,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.0371,1
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0054,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.2314,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0118,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0046,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.2525,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0097,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0201,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.1462,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0044,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.008,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.2204,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0181,2
